LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
T7BF4GUW6F,34,138248,103958,525,2,4,6.71,36,0.24,High School,Unemployed,Divorced,No,No,Education,Yes,1
RL2QGZWIE1,42,21668,204640,718,5,4,18.76,36,0.32,High School,Unemployed,Divorced,No,No,Home,Yes,1
KLLQLR92FA,66,54363,219987,300,9,1,17.39,60,0.22,High School,Self-employed,Divorced,No,Yes,Home,No,0
KIN5GTMYEV,69,146507,240889,759,65,1,7.75,36,0.7,PhD,Self-employed,Divorced,Yes,Yes,Education,No,0
EDHMGCQ990,27,141144,219945,342,28,4,3.79,12,0.81,High School,Self-employed,Divorced,No,Yes,Auto,No,0
94140P1P66,35,125950,141926,564,59,3,2.91,48,0.26,High School,Self-employed,Divorced,Yes,Yes,Education,Yes,0
JQJW6EFSPO,50,147865,17202,514,85,3,2.79,12,0.64,PhD,Part-time,Married,Yes,No,Auto,No,0
NH1FHSK2GG,66,110903,158060,694,94,4,22.12,60,0.83,Master's,Unemployed,Married,No,No,Auto,Yes,0
5WTX3GJHQ7,66,110730,11643,844,66,4,6.17,60,0.68,PhD,Full-time,Single,Yes,Yes,Home,No,0
YEWCOS4PRZ,38,24314,197889,310,84,1,6.68,60,0.18,High School,Full-time,Divorced,No,No,Business,No,0
2L2YATZZ1C,51,93850,199760,729,58,2,17.68,12,0.17,PhD,Unemployed,Single,No,Yes,Home,No,0
KZ4ZOREGYA,42,108833,182776,567,6,1,14.55,36,0.84,PhD,Full-time,Married,No,Yes,Education,Yes,0
RZ724DVJHB,18,116182,12756,304,83,3,21.99,36,0.4,PhD,Unemployed,Single,No,Yes,Auto,Yes,0
N75GQ1OKN5,47,83930,37358,696,107,1,5.31,12,0.76,High School,Part-time,Married,Yes,Yes,Education,No,0
0AC1LVV4IA,27,22731,43936,735,3,3,17.98,24,0.25,PhD,Self-employed,Single,Yes,No,Auto,No,0
QWXJYZLUAM,67,101466,185680,481,29,3,4.05,60,0.84,PhD,Full-time,Single,No,No,Business,No,0
IVZODS0UTT,61,106054,197706,847,79,1,12.93,36,0.86,Master's,Full-time,Single,Yes,No,Other,No,0
G2BLJALGUT,45,139116,149741,839,73,4,14.61,36,0.29,High School,Unemployed,Married,Yes,No,Auto,Yes,1
ITIBXVCZKO,18,91640,135101,686,77,1,2.49,36,0.76,PhD,Full-time,Single,No,No,Other,No,0
DE8N4Z51LW,37,17583,108832,333,39,2,21.88,24,0.59,Master's,Part-time,Married,No,Yes,Business,No,0
48P75F567Q,56,112659,205279,358,43,1,12.25,24,0.43,Master's,Unemployed,Divorced,No,Yes,Business,Yes,0
90SRU0AT2C,57,118191,11181,653,99,4,22.94,48,0.88,High School,Self-employed,Married,Yes,Yes,Education,Yes,0
5O3CXIP3WB,31,138710,173032,479,38,2,24.66,60,0.87,Master's,Unemployed,Single,No,Yes,Auto,Yes,0
HZE72APLKR,45,128307,26875,312,101,2,13.07,12,0.84,High School,Part-time,Single,Yes,Yes,Other,Yes,0
P82Z878HHX,25,145515,114442,831,82,1,10.65,36,0.44,PhD,Self-employed,Married,No,Yes,Auto,Yes,0
TASB7GIZBK,65,95515,60481,575,93,2,8.57,48,0.25,Master's,Full-time,Single,No,No,Other,Yes,0
MX066WCIW6,54,25909,120301,436,50,1,18.79,24,0.3,High School,Full-time,Single,Yes,Yes,Education,Yes,0
PC7Q4XDZPV,33,29554,90546,345,98,1,22.42,60,0.14,Bachelor's,Unemployed,Married,Yes,No,Home,Yes,1
373H8HR8IU,21,115013,175570,455,44,2,13.12,12,0.39,PhD,Part-time,Single,No,No,Home,No,0
VLHOUJTTYL,55,55597,12198,369,72,2,3.16,36,0.42,High School,Unemployed,Divorced,No,No,Other,Yes,0
EYGBLF6M4J,26,112443,178553,709,55,3,21.66,24,0.5,Master's,Part-time,Divorced,No,No,Home,No,1
FXY3YGW97B,19,87750,234793,460,98,3,6.48,24,0.77,PhD,Full-time,Single,Yes,Yes,Home,Yes,1
M65UDPGVTX,23,139432,66444,403,70,3,22.92,24,0.78,High School,Unemployed,Single,No,Yes,Auto,No,0
KEOCI17KH1,43,106750,142979,494,82,1,15.21,24,0.3,Bachelor's,Unemployed,Divorced,Yes,Yes,Education,No,0
EUZC7H2I0E,21,107232,136885,348,87,3,4.22,48,0.55,High School,Self-employed,Married,Yes,No,Business,Yes,0
KD2PVZRGQ9,54,52751,7904,653,101,1,14.09,48,0.82,High School,Part-time,Single,Yes,Yes,Education,No,0
4T0R8BWS95,68,148726,221098,808,105,3,9.28,48,0.61,PhD,Unemployed,Single,No,No,Business,No,0
703GX81FRZ,37,124186,6523,346,77,3,17.56,36,0.79,PhD,Self-employed,Married,No,No,Home,No,0
6FXQJSPMB3,54,141822,135404,771,3,1,17.91,12,0.43,Master's,Self-employed,Married,No,No,Auto,Yes,0
YQB72HCSJW,63,87775,25022,739,41,4,15.91,24,0.7,High School,Full-time,Married,Yes,Yes,Home,No,0
ZAUS9LL2SZ,26,46533,170652,677,52,2,5.32,36,0.68,High School,Unemployed,Divorced,No,No,Home,Yes,0
R1IMMCQ5Z6,32,110745,21565,602,20,3,3.72,60,0.51,High School,Self-employed,Married,Yes,Yes,Auto,No,0
LYSKSP0ZQ2,37,37659,67102,550,49,2,2.93,36,0.24,PhD,Self-employed,Divorced,Yes,Yes,Education,Yes,0
T3YOAK4R3Q,33,99100,51182,673,28,3,14.32,48,0.63,Bachelor's,Full-time,Married,No,Yes,Auto,Yes,0
R29KQSN03O,67,102596,201145,675,83,4,17.27,24,0.64,PhD,Unemployed,Single,Yes,Yes,Home,No,0
TANLT4GR92,51,25763,184751,655,48,4,10.31,48,0.69,Master's,Full-time,Single,Yes,No,Auto,No,0
7LFIF2ROMK,33,56454,98286,339,9,1,3.3,12,0.73,Master's,Unemployed,Married,No,Yes,Home,Yes,0
FT47IKHE0I,59,115655,45250,626,115,3,10.98,36,0.4,High School,Unemployed,Divorced,No,Yes,Home,Yes,0
BALYPIH3ZK,45,34421,211913,735,94,1,6.76,12,0.71,Master's,Part-time,Divorced,Yes,Yes,Education,Yes,0
2SXBA85H01,24,20496,11700,726,71,3,22.64,36,0.21,Bachelor's,Full-time,Divorced,No,Yes,Other,Yes,1
7CKC0LIUV5,35,143751,151838,585,63,1,14.68,36,0.55,Bachelor's,Unemployed,Married,Yes,No,Auto,Yes,0
V7Z2LV7PKY,24,63882,104512,370,53,1,24.44,48,0.63,High School,Part-time,Married,No,No,Home,Yes,0
Q2HJNBFNWJ,37,45879,114946,320,94,3,11.4,12,0.86,PhD,Self-employed,Divorced,No,Yes,Education,Yes,0
CYP288SP9D,59,69353,249243,741,86,1,3.62,36,0.49,Master's,Unemployed,Single,Yes,Yes,Education,Yes,0
T059TU6TIY,26,138428,202614,605,61,2,4.55,36,0.25,Master's,Unemployed,Divorced,No,Yes,Other,No,0
9REXSKSEAP,63,144012,69689,622,42,1,10.82,60,0.82,PhD,Unemployed,Married,No,No,Other,No,0
4NG0S7YVVB,24,78868,131947,358,95,2,12.82,60,0.2,Bachelor's,Part-time,Single,No,Yes,Home,No,0
FQCEFMXB8O,35,20635,164819,352,21,3,24.15,48,0.11,PhD,Part-time,Divorced,No,Yes,Auto,Yes,0
1CU1MZPT07,53,103440,127439,556,119,3,5.16,60,0.44,PhD,Self-employed,Divorced,Yes,No,Education,No,0
PXFA0IL5KT,27,22789,172925,667,7,4,11.02,60,0.5,PhD,Unemployed,Single,No,Yes,Home,No,1
4V391A9J5H,44,26696,15729,670,112,2,5.53,24,0.53,PhD,Unemployed,Divorced,No,No,Auto,Yes,0
HTXKB0JLP4,44,81099,175155,321,28,3,9.52,60,0.11,Bachelor's,Full-time,Single,Yes,No,Education,Yes,0
GG128RHWYH,26,76996,216486,439,15,2,11.47,24,0.46,PhD,Unemployed,Divorced,Yes,No,Home,Yes,0
9ENJHEM79O,55,90832,63727,767,8,4,4.75,24,0.46,High School,Part-time,Divorced,Yes,Yes,Business,Yes,0
WXOJI09N1E,54,129065,206760,736,22,4,14.0,36,0.84,PhD,Unemployed,Single,No,Yes,Education,No,0
8MLBORBQB9,51,23527,244795,670,17,3,13.14,60,0.89,High School,Full-time,Married,Yes,Yes,Other,Yes,0
NNVJQOMR86,46,68192,246628,681,27,1,22.15,24,0.89,High School,Part-time,Divorced,No,Yes,Home,Yes,0
CR2V0ACGHH,25,146199,147457,306,78,1,12.2,60,0.14,Master's,Full-time,Divorced,Yes,No,Education,Yes,0
7ZEJSGZPAJ,34,146103,54731,721,77,4,19.41,36,0.77,PhD,Self-employed,Single,Yes,No,Auto,Yes,0
QJSI368FNL,26,78862,224660,446,15,4,18.48,12,0.53,High School,Part-time,Married,Yes,No,Education,No,1
F4N9CGE2L6,52,50544,96150,644,78,3,20.49,36,0.39,Master's,Part-time,Married,No,No,Auto,Yes,0
YMQRL79WPR,24,58244,7659,694,87,1,21.06,48,0.73,Master's,Full-time,Married,No,No,Auto,No,0
J3SE14568M,65,108866,169844,468,43,4,19.85,12,0.82,PhD,Unemployed,Married,No,No,Education,No,0
JPOE4KS3XO,62,60720,242953,356,96,2,18.12,36,0.44,High School,Self-employed,Divorced,Yes,Yes,Education,Yes,0
BHPT747VBU,43,44974,182112,807,96,1,15.36,24,0.17,Master's,Full-time,Single,No,Yes,Auto,No,0
ISBNXJ0JSZ,22,89725,205555,451,101,1,6.74,12,0.76,Master's,Self-employed,Single,No,Yes,Other,No,1
XD5NC46OBD,34,49691,189959,383,26,3,8.01,24,0.34,High School,Self-employed,Single,No,Yes,Other,Yes,0
AD165IBL1K,18,138129,143234,736,113,1,10.76,48,0.16,High School,Full-time,Single,Yes,No,Education,No,0
2HOTZMFTKN,22,76046,221956,392,18,1,22.66,24,0.47,Master's,Unemployed,Single,Yes,No,Other,No,1
SU7KBND5OU,63,76765,40142,645,104,1,16.5,60,0.47,Master's,Self-employed,Single,No,Yes,Business,No,0
WWE912DX1Y,36,136861,142337,415,50,4,7.42,24,0.15,PhD,Unemployed,Single,Yes,Yes,Auto,No,0
877FHHDN7M,69,74427,227855,668,80,1,4.96,24,0.89,High School,Unemployed,Single,Yes,Yes,Auto,No,0
73W8EW3OSE,64,71240,50364,349,92,1,11.69,36,0.8,PhD,Unemployed,Divorced,Yes,No,Education,No,0
VZM7WM2I2G,53,100968,232249,301,38,2,9.4,12,0.59,PhD,Full-time,Divorced,No,Yes,Other,Yes,0
O82BYHJ4HV,66,71327,116770,328,65,3,7.55,12,0.59,High School,Unemployed,Divorced,Yes,Yes,Education,Yes,0
Z0FQMDV61L,29,53060,26552,334,11,2,2.49,24,0.59,Bachelor's,Self-employed,Married,No,Yes,Business,Yes,0
J2GD1N1XU5,19,22706,122914,538,67,2,5.09,24,0.47,PhD,Self-employed,Single,Yes,No,Business,Yes,1
VU9UAH4GR8,55,20831,131699,441,53,1,9.95,60,0.64,Master's,Self-employed,Single,Yes,No,Other,Yes,0
24OJ55MABW,65,145589,14595,775,89,1,8.87,60,0.85,PhD,Self-employed,Divorced,Yes,Yes,Education,No,0
4EDUYLA578,19,133374,176323,329,21,3,5.42,36,0.25,Bachelor's,Part-time,Married,Yes,No,Education,Yes,0
867NQXZVRQ,38,44369,177622,471,84,3,21.05,12,0.46,High School,Part-time,Married,No,Yes,Business,Yes,0
HBILBJIPKM,65,44842,205542,778,39,1,18.98,12,0.37,Bachelor's,Unemployed,Married,Yes,No,Education,Yes,0
IGK638JMP9,42,68909,223994,714,10,3,7.74,24,0.73,High School,Unemployed,Married,No,No,Other,Yes,0
Y5CENCMD4N,38,55993,234610,623,59,4,24.27,60,0.64,High School,Full-time,Single,Yes,Yes,Auto,No,0
FK4Y369V7Y,29,124733,140231,547,57,3,10.76,60,0.55,High School,Unemployed,Divorced,Yes,Yes,Business,No,0
0TQR6J6AZL,53,92033,131091,792,33,4,7.9,48,0.54,High School,Self-employed,Divorced,No,No,Home,No,0
87LNQ6QOOH,60,111229,246459,838,1,4,2.09,60,0.53,PhD,Full-time,Divorced,No,No,Other,Yes,0
1SFA6AFS84,35,61560,214144,789,22,3,12.32,48,0.56,PhD,Full-time,Single,Yes,No,Education,Yes,0
Z7LT5DKPIX,44,38657,133708,830,18,1,17.46,36,0.27,Bachelor's,Unemployed,Single,No,No,Education,Yes,0
Q2ERDXYEKX,67,105407,209169,456,90,3,11.61,24,0.42,Master's,Self-employed,Single,No,No,Education,Yes,0
KYBW97NXTQ,61,31142,15311,691,0,3,20.41,48,0.62,PhD,Full-time,Divorced,No,No,Business,No,1
4X5A1PCROL,55,32116,106916,635,50,3,6.84,24,0.63,PhD,Full-time,Single,No,Yes,Business,Yes,0
ORED02DX3O,27,102332,222430,669,30,3,7.01,60,0.77,Bachelor's,Unemployed,Married,Yes,No,Auto,No,0
ZVEMFVZLJR,47,16317,117650,364,62,4,2.61,24,0.83,High School,Unemployed,Divorced,No,Yes,Business,No,0
A8FJD9AW6W,41,39943,187904,410,35,1,11.41,48,0.45,PhD,Unemployed,Single,No,No,Business,No,0
1TANN78QZH,56,69151,113637,432,18,3,13.62,24,0.64,Bachelor's,Self-employed,Divorced,No,Yes,Auto,No,0
9JL602J2HZ,32,31290,8170,818,16,3,24.94,48,0.52,Master's,Unemployed,Divorced,Yes,Yes,Auto,No,0
AFKHPAILCQ,65,46076,88052,302,35,4,11.27,24,0.24,Master's,Part-time,Single,No,Yes,Other,Yes,0
LAP8A3CIDG,39,119896,131057,462,78,3,6.44,48,0.14,PhD,Full-time,Divorced,Yes,Yes,Education,Yes,0
AIEUW24EOT,35,22769,23963,593,103,3,6.35,36,0.64,Bachelor's,Part-time,Single,No,No,Home,Yes,0
X0RB7XCRRQ,55,84542,199883,494,74,2,12.44,24,0.67,Master's,Part-time,Married,No,Yes,Other,No,0
VPVYQYY5X2,60,96110,23999,320,75,4,23.87,24,0.29,Bachelor's,Self-employed,Married,Yes,No,Education,No,0
KCRYJ2LK8S,62,60695,206991,518,106,3,14.93,48,0.47,PhD,Part-time,Single,No,No,Home,No,0
42F7KFD9JO,25,46681,141207,568,86,4,13.3,12,0.24,Master's,Full-time,Married,No,No,Business,Yes,0
WG9YQTGMBH,32,91670,217621,755,2,3,4.5,60,0.31,PhD,Full-time,Married,No,No,Education,No,0
SC7OVY0X3Y,62,52384,53174,456,87,2,6.6,48,0.58,High School,Part-time,Married,Yes,No,Home,Yes,0
K701PH6YF7,36,104752,192092,836,84,1,22.35,48,0.22,High School,Unemployed,Single,Yes,Yes,Education,No,1
A2C8BQ7WMA,22,95760,12069,348,83,1,4.72,48,0.19,Bachelor's,Unemployed,Single,No,No,Business,No,0
7PAWRXQ0PA,44,31252,160243,483,40,3,16.1,60,0.26,Bachelor's,Self-employed,Single,Yes,Yes,Business,No,0
P8VW31CDM6,18,134568,66582,655,38,4,18.11,12,0.26,High School,Self-employed,Single,Yes,No,Auto,Yes,0
TG922GH8B5,61,39755,123104,804,40,1,11.17,48,0.88,PhD,Unemployed,Divorced,No,Yes,Home,No,0
8HJI4CZR3F,47,71405,135432,347,111,2,18.62,60,0.47,Master's,Full-time,Divorced,No,Yes,Education,No,0
F8N9NWP1OZ,69,29985,91662,653,74,3,15.91,24,0.75,PhD,Unemployed,Single,Yes,No,Home,No,0
QBVYEX97WE,49,133578,60859,715,98,4,15.26,36,0.34,PhD,Self-employed,Divorced,Yes,No,Home,Yes,0
JBO9I13TQC,68,30511,19308,364,38,3,24.49,36,0.13,Master's,Part-time,Single,Yes,Yes,Home,Yes,0
ZMYP6IY2SO,27,28338,71441,449,41,3,10.35,48,0.32,High School,Self-employed,Divorced,No,Yes,Auto,Yes,0
O8COX1L5DE,40,15997,209366,702,102,4,24.3,60,0.58,High School,Full-time,Divorced,Yes,Yes,Home,No,0
YKNXF7Z0AV,21,91517,152002,595,79,2,7.2,12,0.56,High School,Part-time,Divorced,Yes,No,Other,Yes,1
TE02U6MMHZ,25,120252,18555,543,79,2,21.33,24,0.8,High School,Full-time,Divorced,Yes,No,Auto,No,0
ODGJLBTWL8,28,77047,68213,728,37,1,13.61,12,0.79,PhD,Part-time,Married,Yes,Yes,Education,No,0
F58L19QZOY,53,84410,238154,822,90,4,2.56,12,0.4,High School,Full-time,Married,No,No,Home,No,0
F3ES4M0935,47,90856,216864,472,46,4,20.96,24,0.19,PhD,Self-employed,Divorced,Yes,Yes,Auto,Yes,0
CAH8L8O51E,39,55234,181806,566,30,3,23.23,36,0.14,High School,Self-employed,Single,No,No,Home,No,1
IODM6MWSDJ,53,121085,218040,485,24,2,9.83,12,0.18,PhD,Part-time,Married,Yes,Yes,Education,No,0
TGK9CPV3KG,32,58201,190919,459,56,3,5.6,12,0.79,High School,Part-time,Married,No,Yes,Home,Yes,0
JLYLR9NFC9,43,58071,100264,399,79,1,2.17,48,0.26,Bachelor's,Unemployed,Married,No,No,Home,No,0
A2NHJGRUZI,23,82529,200531,689,94,1,3.1,24,0.64,High School,Part-time,Divorced,No,Yes,Business,Yes,0
VG85ALEHPA,31,110640,62454,337,56,4,5.83,60,0.27,PhD,Part-time,Single,No,No,Auto,Yes,0
Q8FIKXP6M7,41,114281,121038,840,47,3,17.65,60,0.78,PhD,Full-time,Divorced,Yes,Yes,Other,Yes,0
466EKEBP5Z,38,95178,158257,497,114,2,4.15,36,0.14,PhD,Self-employed,Single,No,Yes,Other,No,0
A46XCYO6MO,63,60907,199916,656,20,4,10.82,12,0.47,Bachelor's,Self-employed,Married,Yes,Yes,Home,No,0
AFIB46DXY6,60,74004,217583,513,0,4,23.9,36,0.17,High School,Unemployed,Divorced,No,No,Education,Yes,1
BLXU70685E,62,109876,189219,756,110,4,16.26,36,0.43,Master's,Part-time,Single,Yes,No,Home,No,0
R6ZIN5S8Y0,26,115119,197712,357,90,3,21.85,48,0.5,High School,Self-employed,Single,Yes,No,Other,No,0
HKHXVP0FCN,57,44973,240783,558,33,4,10.89,24,0.35,High School,Part-time,Single,Yes,No,Home,Yes,0
Y8QKBQL2GQ,50,75835,151221,303,11,3,8.9,12,0.13,Master's,Part-time,Married,No,Yes,Home,Yes,0
8PZ6W17C2F,38,138284,238963,420,4,1,14.26,24,0.44,Master's,Part-time,Divorced,No,No,Auto,Yes,0
B1NDQIU0RX,49,87790,191998,422,35,3,16.95,24,0.34,High School,Unemployed,Married,No,No,Home,Yes,0
9LH76S01LD,50,30702,207681,467,27,3,23.5,36,0.55,High School,Unemployed,Married,No,No,Auto,Yes,0
C6K4YO2UDH,65,45902,102339,639,112,3,15.29,24,0.13,Master's,Unemployed,Single,No,No,Auto,Yes,0
GUPMRUC363,32,143624,18202,528,112,3,10.84,24,0.1,High School,Part-time,Married,Yes,Yes,Home,Yes,0
6ISLWV7U8X,64,58773,68761,590,118,4,4.84,12,0.78,PhD,Full-time,Married,Yes,No,Business,Yes,0
IGM6Q2X19Y,19,149845,236326,409,85,1,15.19,12,0.62,Master's,Unemployed,Divorced,No,No,Auto,Yes,0
ZUYV48WGOO,61,82034,18907,592,76,2,10.45,60,0.39,PhD,Part-time,Single,Yes,No,Home,No,0
WT02EYKGSA,41,89917,26343,501,39,3,16.46,60,0.86,Master's,Self-employed,Divorced,No,Yes,Home,No,0
SSNGPVF3YM,59,60112,96670,642,33,3,13.74,24,0.25,PhD,Self-employed,Married,Yes,No,Business,No,0
UIVCKY740W,30,38041,213901,641,77,1,10.88,24,0.32,Bachelor's,Part-time,Divorced,No,No,Auto,Yes,0
0NTWPEVJG4,48,29189,194776,504,71,3,16.38,12,0.83,High School,Full-time,Divorced,No,No,Auto,Yes,1
NBZ971FTWC,50,90381,89520,702,30,1,6.7,12,0.5,Master's,Self-employed,Single,Yes,Yes,Other,No,0
MQRWVVEHJV,62,130529,164910,362,32,2,7.71,24,0.19,Master's,Self-employed,Single,No,No,Education,No,0
OAJTTHUKQP,68,112668,76450,345,34,2,7.72,36,0.36,Bachelor's,Part-time,Single,No,Yes,Education,Yes,0
CN2N6Q2VXU,64,140557,93335,745,93,2,13.94,60,0.56,Master's,Part-time,Married,No,No,Home,No,0
D6ZQVQNVYI,46,47525,159499,326,34,3,5.08,24,0.3,PhD,Full-time,Divorced,Yes,No,Education,Yes,0
0Y2PGTNTPD,47,40895,204226,750,99,4,2.08,60,0.42,High School,Unemployed,Single,No,Yes,Auto,No,0
PTVH90JZEX,27,127258,190426,419,0,1,21.43,60,0.25,PhD,Unemployed,Single,No,No,Business,Yes,1
OLXS0QNSFP,28,116690,33140,813,64,2,12.42,48,0.53,High School,Full-time,Divorced,No,Yes,Auto,No,0
S526C016PF,37,68867,128118,535,87,1,6.0,24,0.39,High School,Self-employed,Married,No,Yes,Auto,No,0
OUPKKGRBEC,55,54354,188830,464,26,1,22.38,24,0.74,High School,Self-employed,Divorced,Yes,No,Education,No,0
6DJUJ0QZ43,63,39216,178000,707,74,1,12.48,12,0.15,Master's,Self-employed,Divorced,No,No,Auto,No,0
UVZS66CB54,32,23530,44457,578,53,2,7.69,60,0.24,High School,Full-time,Married,No,Yes,Other,Yes,0
4BBTUVR3HW,26,90736,51090,372,27,3,11.18,12,0.8,Bachelor's,Unemployed,Married,No,Yes,Home,Yes,0
FVASXM0EZD,37,104477,133005,440,14,3,9.6,60,0.61,High School,Unemployed,Divorced,No,Yes,Other,No,0
KA9BCPW9Z6,57,53658,7916,421,41,4,11.43,12,0.78,PhD,Full-time,Married,No,No,Business,No,0
TMDH67SYIW,57,66216,74977,385,82,4,12.72,48,0.79,High School,Full-time,Single,Yes,Yes,Home,Yes,0
W0IP3ZA14P,34,117941,103006,796,118,1,11.97,60,0.47,PhD,Self-employed,Divorced,Yes,Yes,Other,Yes,0
HDRKHZX706,50,36360,212402,424,114,2,17.16,60,0.12,High School,Part-time,Divorced,No,Yes,Business,No,0
